SourceFile,proportion,median_rank,School,Normalized Proportion,Normalized Median Rank,Specialty
USC Keck_match_list.csv,0.034482758620689655,39.0,USC Keck,-0.28757584411169146,0.20432766257691437,Diagnostic Radiology
UTSW_match_list.csv,0.034653465346534656,53.0,UTSW,-0.27962967622667073,0.7632084671574716,Diagnostic Radiology
Rutgers_match_list.csv,0.03571428571428571,57.0,Rutgers,-0.23024991865547165,0.9228886970376308,Diagnostic Radiology
University of Miami_match_list.csv,0.036458333333333336,68.0,University of Miami,-0.19561550535900527,1.3620093292080686,Diagnostic Radiology
Brown_match_list.csv,0.037383177570093455,7.5,Brown,-0.15256525331760362,-1.0531541477293394,Diagnostic Radiology
University of Iowa_match_list.csv,0.038461538461538464,35.0,University of Iowa,-0.10236900802236555,0.044647432696755175,Diagnostic Radiology
Hofstra_match_list.csv,0.04040404040404041,53.0,Hofstra,-0.011948162120169387,0.7632084671574716,Diagnostic Radiology
Sydney Kimmel_match_list.csv,0.0430622009569378,103.0,Sydney Kimmel,0.11178562700915155,2.759211340659462,Diagnostic Radiology
Case Western_match_list.csv,0.0446927374301676,23.0,Case Western,0.18768490101138302,-0.43439325694372244,Diagnostic Radiology
UVA_match_list.csv,0.045112781954887216,30.0,UVA,0.2072374071946275,-0.15495285465344383,Diagnostic Radiology
UPenn_match_list.csv,0.05128205128205128,5.0,UPenn,0.49440857493212853,-1.1529542914044388,Diagnostic Radiology
University of Florida_match_list.csv,0.05303030303030303,61.0,University of Florida,0.5757873362441052,1.08256892691779,Diagnostic Radiology
NYU_match_list.csv,0.05319148936170213,12.0,NYU,0.5832903426062023,-0.8735138891141603,Diagnostic Radiology
Mayo_match_list.csv,0.058823529411764705,75.5,Mayo,0.845454211964184,1.661409760233367,Diagnostic Radiology
Harvard_match_list.csv,0.06134969325153374,10.0,Harvard,0.9630437320988481,-0.9533540040542399,Diagnostic Radiology
Yale_match_list.csv,0.06363636363636363,12.0,Yale,1.0694851548700954,-0.8735138891141603,Diagnostic Radiology
WashU_match_list.csv,0.06593406593406594,9.0,WashU,1.1764400983086936,-0.9932740615242797,Diagnostic Radiology
McGovern_match_list.csv,0.06666666666666667,54.0,McGovern,1.2105416744775217,0.8031285246275114,Diagnostic Radiology
University of Minnesota_match_list.csv,0.06796116504854369,84.5,University of Minnesota,1.2707988284845773,2.0206902774637254,Diagnostic Radiology
University of Utah_match_list.csv,0.07547169811320754,35.0,University of Utah,1.62040401446891,0.044647432696755175,Diagnostic Radiology
Baylor_match_list.csv,0.07692307692307693,55.0,Baylor,1.6879637408411174,0.8430485820975512,Diagnostic Radiology
Cornell_match_list.csv,0.08181818181818182,12.0,Cornell,1.9158242725146513,-0.8735138891141603,Diagnostic Radiology
Vanderbilt_match_list.csv,0.0875,22.0,Vanderbilt,2.1803052467785746,-0.47431331441376223,Diagnostic Radiology
Mayo_match_list.csv,0.0,,Mayo,-1.942451754249716,,Emergency Medicine
Cornell_match_list.csv,0.01818181818181818,21.0,Cornell,-1.2787742899920607,-0.8522982004621078,Emergency Medicine
NYU_match_list.csv,0.02127659574468085,33.0,NYU,-1.1658079130971406,-0.36734311497120636,Emergency Medicine
Case Western_match_list.csv,0.0223463687150838,36.5,Case Western,-1.1267587814190783,-0.2258978817030268,Emergency Medicine
UVA_match_list.csv,0.022556390977443608,41.0,UVA,-1.1190924940804445,-0.04403972464393876,Emergency Medicine
Northwestern_match_list.csv,0.024193548387096774,79.0,Northwestern,-1.0593325477778361,1.4916513794105823,Emergency Medicine
Yale_match_list.csv,0.02727272727272727,45.0,Yale,-0.9469355578632331,0.11761197051969505,Emergency Medicine
University of Florida_match_list.csv,0.030303030303030304,42.5,University of Florida,-0.8363226471536238,0.01657966104242392,Emergency Medicine
Columbia_match_list.csv,0.032520325203252036,48.5,Columbia,-0.7553863710246415,0.2590572037878746,Emergency Medicine
Einstein_match_list.csv,0.03571428571428571,66.0,Einstein,-0.6387995923150361,0.9662833701287725,Emergency Medicine
UWashington_match_list.csv,0.03614457831325301,82.0,UWashington,-0.6230929397616062,1.6128901507833078,Emergency Medicine
University of Miami_match_list.csv,0.036458333333333336,69.0,University of Miami,-0.6116401722747301,1.087522141501498,Emergency Medicine
Harvard_match_list.csv,0.03680981595092025,12.0,Harvard,-0.5988102621943402,-1.2160145145802839,Emergency Medicine
Vanderbilt_match_list.csv,0.0375,21.0,Vanderbilt,-0.5736169842183021,-0.8522982004621078,Emergency Medicine
Hopkins_match_list.csv,0.0380952380952381,50.0,Hopkins,-0.5518894481860572,0.3196765894742373,Emergency Medicine
Baylor_match_list.csv,0.038461538461538464,24.5,Baylor,-0.538518656781599,-0.7108529671939282,Emergency Medicine
Hofstra_match_list.csv,0.04040404040404041,58.0,Hofstra,-0.4676129447882597,0.6429799798015049,Emergency Medicine
McGovern_match_list.csv,0.041025641025641026,35.0,McGovern,-0.44492311695039133,-0.2865172673893895,Emergency Medicine
Rutgers_match_list.csv,0.04285714285714286,45.5,Rutgers,-0.37806915992810003,0.13781843241514927,Emergency Medicine
Pitt_match_list.csv,0.04310344827586207,18.0,Pitt,-0.3690784553630332,-0.9735369718348331,Emergency Medicine
Emory_match_list.csv,0.04504504504504504,22.0,Emory,-0.2982057842420116,-0.8118852766711994,Emergency Medicine
UChicago_match_list.csv,0.04597701149425287,121.5,UChicago,-0.2641869021039211,3.2092006405241915,Emergency Medicine
University of Alabama_match_list.csv,0.05442176870748299,68.5,University of Alabama,0.04406582584122484,1.0673156796060437,Emergency Medicine
WashU_match_list.csv,0.054945054945054944,36.0,WashU,0.0631669564190224,-0.24610434359848102,Emergency Medicine
USC Keck_match_list.csv,0.05517241379310345,21.5,USC Keck,0.07146606832523787,-0.8320917385666535,Emergency Medicine
UCSD_match_list.csv,0.057971014492753624,29.5,UCSD,0.17362132019498197,-0.5087883482393859,Emergency Medicine
UTSW_match_list.csv,0.06435643564356436,26.0,UTSW,0.40670362666228166,-0.6502335815075655,Emergency Medicine
Sydney Kimmel_match_list.csv,0.06698564593301436,25.5,Sydney Kimmel,0.5026757456469088,-0.6704400434030198,Emergency Medicine
Geisel (Dartmouth)_match_list.csv,0.0684931506849315,84.0,Geisel (Dartmouth),0.5577030768578893,1.6937159983651247,Emergency Medicine
University of Utah_match_list.csv,0.07547169811320754,88.0,University of Utah,0.8124358332348907,1.8553676935287584,Emergency Medicine
University of Iowa_match_list.csv,0.07692307692307693,60.0,University of Iowa,0.865414440686518,0.7238058273833218,Emergency Medicine
OhioState_match_list.csv,0.07734806629834254,34.5,OhioState,0.8809275135867178,-0.3067237292848437,Emergency Medicine
UMich_match_list.csv,0.07741935483870968,21.0,UMich,0.8835297064603,-0.8522982004621078,Emergency Medicine
UNC_match_list.csv,0.08,28.0,UNC,0.9777290884839672,-0.5694077339257486,Emergency Medicine
UPenn_match_list.csv,0.08547008547008547,23.0,UPenn,1.1773995734572105,-0.7714723528802909,Emergency Medicine
UCLA_match_list.csv,0.0859375,9.0,UCLA,1.1944612604056077,-1.3372532859530093,Emergency Medicine
Colorado_match_list.csv,0.09022556390977443,18.0,Colorado,1.3509852864273701,-0.9735369718348331,Emergency Medicine
University of Minnesota_match_list.csv,0.10679611650485436,45.0,University of Minnesota,1.9558479144481618,0.11761197051969505,Emergency Medicine
Stanford_match_list.csv,0.11290322580645161,12.0,Stanford,2.1787712092857237,-1.2160145145802839,Emergency Medicine
Brown_match_list.csv,0.12149532710280374,41.0,Brown,2.492402329341158,-0.04403972464393876,Emergency Medicine
Cornell_match_list.csv,0.0,,Cornell,-1.3321625378152702,,Family Medicine
WashU_match_list.csv,0.0,,WashU,-1.3321625378152702,,Family Medicine
Harvard_match_list.csv,0.006134969325153374,23.0,Harvard,-1.194000102703331,-0.7908150223220303,Family Medicine
Hofstra_match_list.csv,0.010101010101010102,115.0,Hofstra,-1.1046829729339964,0.13990011588292442,Family Medicine
